text,label,action
add 5 kg of Biscuits,ham,add
play music,spam,play
add 2 litres of milk,ham,add
who is prime minister,spam,none
remove 1kg of fruits,ham,remove
how was politics in india,spam,none
add 2 packets of biscuits to inventory,ham,add
remove 5 kg of wheat in food,ham,remove
add 5kg of sugar in food category,ham,add
what is whether today,spam,none
add 4 kg biscuits in food category,ham,add
what is the gdp of India,spam,none
add 2 kg bread in food category,ham,add
where is nearby petrol station,spam,none
add 2 liter of milk in food category,ham,add
how to learn datascience,spam,none
add 2 kg bread in food category,ham,add
add 4 kg sweets in food category,ham,add
what was gold price today,spam,none
what is the highest rated imdb movie,spam,none
please sing a song for me,spam,sing
please add me to your facebook account,spam,add
show me what is there in inventory,ham,show
display exisitng items in inventory,ham,display
what do you offer for me,ham,offer
please add me to your twitter account,spam,add
provide exisitng items in inventory,ham,provide
return the exisitng items in inventory,ham,return
subtract 2 kg of Sandwich from inventory,ham,subtract
add 4 kg detergent to stocks,ham,add
what is the climate now,spam,none
add 2 kg salt in food category,ham,add
add 2 packets of milk in food category,ham,add
add 2 liter of softdrinks in food category,ham,add
add 2 bottles of softdrinks in food category,ham,add
when is the schedule of bengaluru flight,spam,none
what is your name,spam,none
schedule a trip to maldives,spam,none
what is the latest mobile phone,spam,none
how old are you,spam,none
who am I,spam,none
can you show latest google trends,spam,none
push 2 kg of Biscuits to the inventory,ham,push
add 2 kg of detergent to the inventory,ham,add
add 2 packets of detergent to the inventory,ham,add
display the current items in inventory,ham,display
get the existing items in inventory,ham,get
remove 2 kg of Sandwich from inventory,ham,remove
what is the dollar price today,spam,none
play video in youtube,spam,play
please sing a poem for me,spam,sing
offer current snapshot of inventory,ham,offer
provide exisitng items in inventory,ham,provide
get the existing items in inventory,ham,get
show me what is there in inventory,ham,show
push 2 kg of Wheat to the inventory,ham,push
return the exisitng items in inventory,ham,return
subtract 60 kg of Fruits from inventory,ham,subtract
what is the dollar price today,spam,none
play video in youtube,spam,play
please sing a poem for me,spam,sing
offer current snapshot of inventory,ham,offer
provide exisitng items in inventory,ham,provide
get the existing items in inventory,ham,get
show me what is there in inventory,ham,show
push 2 kg of Wheat to the inventory,ham,push
return the exisitng items in inventory,ham,return
subtract 20 kg of Fruits from inventory,ham,subtract
add 5 kg of Biscuits,ham,add
play music,spam,play
add 2 litres of milk,ham,add
who is prime minister,spam,none
remove 1kg of fruits,ham,remove
how was politics in india,spam,none
add 2 units of fruits to inventory,ham,add
remove 5 kg of wheat in food,ham,remove
add 5 packets of sugar in food category,ham,add
what is whether today,spam,none
add 4 kg biscuits in food category,ham,add
what is the gdp of India,spam,none
add 2 kg of fruits in food category,ham,add
where is nearby petrol station,spam,none
add 2 liter of milk in food category,ham,add
how to learn datascience,spam,none
add 2 packets of bread in food category,ham,add
add 4 kg sweets in food category,ham,add
what was gold price today,spam,none
what is the highest rated imdb movie,spam,none
please sing a song for me,spam,sing
please add me to your facebook account,spam,add
show me what is there in inventory,ham,show
display exisitng items in inventory,ham,display
what do you offer for me,ham,offer
please add me to your twitter account,spam,add
provide exisitng items in inventory,ham,provide
return the exisitng items in inventory,ham,return
subtract 2 kg of Sandwich from inventory,ham,subtract
add 4 kg detergent to inventory,ham,add
what is the climate now,spam,none
add 2 packets of salt in food category,ham,add
add 2 packets of milk in food category,ham,add
add 2 liter of softdrinks in food category,ham,add
add 2 bottles of softdrinks in food category,ham,add
when is the schedule of bengaluru flight,spam,none
what is your name,spam,none
schedule a trip to maldives,spam,none
what is the latest mobile phone,spam,none
how old are you,spam,none
who am I,spam,none
can you show latest google trends,spam,none
push 2 kg of Biscuits to the inventory,ham,push
add 2 kg of detergent to the inventory,ham,add
add 2 packets of detergent to the inventory,ham,add
display the current items in inventory,ham,display
get the existing items in inventory,ham,get
remove 2 kg of Sandwich from inventory,ham,remove
what is the dollar price today,spam,none
play video in youtube,spam,play
please sing a poem for me,spam,sing
offer current snapshot of inventory,ham,offer
provide exisitng items in inventory,ham,provide
get the existing items in inventory,ham,get
show me what is there in inventory,ham,show
push 2 kg of Wheat to the inventory,ham,push
return the exisitng items in inventory,ham,return
subtract 20 kg of Fruits from inventory,ham,subtract
what is the dollar price today,spam,none
play video in youtube,spam,play
please sing a poem for me,spam,sing
offer current snapshot of inventory,ham,offer
provide exisitng items in inventory,ham,provide
get the existing items in inventory,ham,get
show me what is there in inventory,ham,show
push 2 kg of Wheat to the inventory,ham,push
return the exisitng items in inventory,ham,return
subtract 10 kg of Fruits from inventory,ham,subtract
provide exisitng items in inventory,ham,provide
